,"Код
Инструмента","Наименование
Инструмента","Базис
поставки","Объем
Договоров
в единицах
измерения","Обьем
Договоров,
руб.","Изменение рыночной
цены к цене
предыдуего дня",Col6,"Цена (за единицу измерения), руб.",Col8,Col9,Col10,"Цена в Заявках (за единицу
измерения)",Col12,"Количество
Договоров,
шт."
0,,,,,,Руб.,%,Минимальная,Средневзвешенная,Максимальная,Рыночная,"Лучшее
предложение","Лучший
128,A695SVS005A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Увекская НБ (самовывоз автотранспортом)",Увекская НБ,-,-,-,-,-,-,-,-,75700,-,-
129,A695SVZ005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Связь-Петролеум (самовывоз автотранспортом)",НБ Связь-Петролеум,-,-,-,-,-,-,-,75600,76000,-,-
130,A695UFM060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), Уфа-
группа станций (ст. отправления)",Уфа-группа станций,960,65459580,20,"0,03",68174,68187,68193,68187,68172,68194,10
131,A695UFS010A,"Бензин (АИ-95-К5) ГОСТ 32513-2013/ГОСТ 32513-2023,
Уфимская НБ (самовывоз автотранспортом)",Уфимская НБ,20,1439000,-,-,71950,71950,71950,71950,71950,71999,1
132,A695URT005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023,
Сургут-25 БП (самовывоз автотранспортом)",Сургут-25 БП,140,9870000,-,-,70500,70500,70500,70500,70500,70500,9
133,A695VGZ005A,"Бензин (АИ-95-К5), ГОСТ 32513-2013/ГОСТ 32513-2023, НБ
Волгоградская (самовывоз автотранспортом)",НБ Волгоградская,-,-,-,-,-,-,-,-,81000,-,-
134,A695VLA060J,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Ветласян (ст. отправления ОТП)",ст. Ветласян,120,8385180,11,"0,02",69873,69877,69880,69877,69866,69884,2
135,A695VON060J,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Войновка (ст. отправления ОТП)",ст. Войновка,240,16328880,7,"0,01",68037,68037,68037,68037,68037,68044,4
136,A695YAI060F,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Яничкино (ст. отправления)",ст. Яничкино,960,69816660,17,"0,02",72716,72726,72730,72726,72716,72733,9
137,A695YAI060J,"Бензин (АИ-95-К5) (ГОСТ 32513-2013/ГОСТ 32513-2023), ст.
Яничкино (ст. отправления ОТП)",ст. Яничкино,-,-,-,-,-,-,-,-,-,72800,-
138,A92KRUY060W,"Бензин (АИ-92-К5)-ЕВРО, ст. Рудня-Экспорт (промежуточная
станция)",ст. Рудня-Экспорт,240,16920000,-,-,70500,70500,70500,70500,70500,70500,3
139,A92KZAH060W,"Бензин (АИ-92-К5)-ЕВРО, ст. Завережье-Экспорт
(промежуточная станция)","ст. Завережье-
Экспорт",180,12690000,-,-,70500,70500,70500,70500,70500,70500,1
140,A92KZLY060W,"Бензин (АИ-92-К5)-ЕВРО, ст. Злынка-Экспорт (промежуточная
станция)",ст. Злынка-Экспорт,240,16920000,-,-,70500,70500,70500,70500,70500,70500,4
141,A925KII060F,"Бензин Регуляр-92 (АИ-92-К5), ст. Кириши (ст. отправления)",ст. Кириши,-,-,-,-,-,-,-,-,-,70000,-
142,A926NPT005A,"Бензин (АИ-92-К5) EURO-6, ТАНЕКО (самовывоз
автотранспортом)",ТАНЕКО,350,24875000,71,"0,1",71000,71071,71500,71071,71000,71500,2
143,A926PDK060J,"Бензин (АИ-92-К5) EURO-6, Предкомбинатская-группа станций
(ст. отправления ОТП)","Предкомбинатская-
группа станций",1800,118879080,13,"0,02",66038,66044,66045,66044,66038,66051,13
144,A95KZAH060W,"Бензин (АИ-95-К5)-ЕВРО, ст. Завережье-Экспорт
(промежуточная станция)","ст. Завережье-
Экспорт",-,-,-,-,-,-,-,77000,-,77000,-
145,A95KZLY060W,"Бензин (АИ-95-К5)-ЕВРО, ст. Злынка-Экспорт (промежуточная
станция)",ст. Злынка-Экспорт,60,4560000,300,"0,39",76000,76000,76000,76000,76000,76000,1
146,A953KOB060F,"Бензин Премиум ЕВРО-95 (АИ-95-К5), ст. Комбинатская (ст.
отправления)",ст. Комбинатская,1680,109747980,23,"0,04",65310,65326,65333,65326,65303,65333,22
147,A953KOB060J,"Бензин Премиум ЕВРО-95 (АИ-95-К5), ст. Комбинатская (ст.
отправления ОТП)",ст. Комбинатская,-,-,-,-,-,-,-,-,-,65350,-
148,A956NPT005A,"Бензин (АИ-95-К5) EURO-6, ТАНЕКО (самовывоз
автотранспортом)",ТАНЕКО,200,15080000,299,"0,4",75200,75400,76000,75400,75200,76000,3
149,A956PDK060F,"Бензин (АИ-95-К5) EURO-6, Предкомбинатская-группа станций
(ст. отправления)","Предкомбинатская-
группа станций",-,-,-,-,-,-,-,-,-,69600,-
150,A956PDK060J,"Бензин (АИ-95-К5) EURO-6, Предкомбинатская-группа станций
(ст. отправления ОТП)","Предкомбинатская-
группа станций",-,-,-,-,-,-,-,69450,-,69457,-
151,A983KOB060F,"Бензин Супер ЕВРО-98 (АИ-98-К5), ст. Комбинатская (ст.
отправления)",ст. Комбинатская,-,-,-,-,-,-,-,84500,-,84923,-
152,BD14ACH027A,"Битум нефтяной дорожный марка БНД 100/130 (поставка
наливом), Ачинский НПЗ (самовывоз а/т)",Ачинский НПЗ,-,-,-,-,-,-,-,32000,32000,31500,-
153,BD14ANG027A,"Битум нефтяной дорожный марка БНД 100/130 (поставка
наливом), Ангарская НХК (самовывоз а/т)",Ангарская НХК,-,-,-,-,-,-,-,37000,37000,36500,-
154,BD14ANK065F,"Битум нефтяной дорожный марка БНД 100/130, Ангарск-
группа станций (ст. отправления)","Ангарск-группа
станций",-,-,-,-,-,-,-,-,37000,31000,-
155,BD14NKB027A,"Битум нефтяной дорожный марка БНД 100/130 (поставка
наливом), Новокуйбышевский НПЗ (самовывоз
автотранспортом)","Новокуйбышевский
НПЗ",162,4228200,-,-,26100,26100,26100,26100,26100,26100,2
156,BD14NOV065F,"Битум нефтяной дорожный марка БНД 100/130 (поставка
наливом), ст. Новая Еловка (ст.отправления)",ст. Новая Еловка,390,12480000,-,-,32000,32000,32000,32000,32000,32000,3
157,BD14OMJ025A,"Битум нефтяной дорожный марка БНД 100/130 (поставка
наливом), Омский НПЗ (самовывоз а/т)",Омский НПЗ,-,-,-,-,-,-,-,31800,31800,-,-
158,BD14PIY027A,"Битум нефтяной дорожный марка БНД 100/130 (поставка
наливом), Производственная площадка г. Кстово (самовывоз
автотранспортом)","Производственная
площадка г. Кстово",-,-,-,-,-,-,-,27500,27500,-,-
159,BD51NKB027A,"Битум нефтяной дорожный марка БНД 50/70 (поставка
наливом), Новокуйбышевский НПЗ (самовывоз
автотранспортом)","Новокуйбышевский
НПЗ",405,10570500,-,-,26100,26100,26100,26100,26100,26100,2
160,BD71NKB027A,"Битум нефтяной дорожный марка БНД 70/100 (поставка
наливом), Новокуйбышевский НПЗ (самовывоз
автотранспортом)","Новокуйбышевский
НПЗ",270,7209000,-,-,26700,26700,26700,26700,26700,26700,4
161,BD71NOF027A,"Битум нефтяной дорожный марка БНД 70/100 (поставка
наливом), Ново-Уфимский НПЗ (самовывоз автотранспортом)",Ново-Уфимский НПЗ,378,10773000,-,-,28500,28500,28500,28500,28500,28500,4
162,BD71PIH027A,"Битум нефтяной дорожный марка БНД 70/100 (поставка
наливом), Производственная площадка г. Саратов (самовывоз
автотранспортом)","Производственная
площадка г. Саратов",999,26973000,-,-,27000,27000,27000,27000,27000,27000,5
163,BD71PIY027A,"Битум нефтяной дорожный марка БНД 70/100 (поставка
наливом), Производственная площадка г. Кстово (самовывоз
автотранспортом)","Производственная
площадка г. Кстово",-,-,-,-,-,-,-,27500,27500,26000,-
164,BD71RNT027A,"Битум нефтяной дорожный марка БНД 70/100 (поставка
наливом), Рязанская НПК (самовывоз автотранспортом)",Рязанская НПК,405,10732500,-,-,26500,26500,26500,26500,26500,26500,5
165,BD71SLF027A,"Битум нефтяной дорожный марка БНД 70/100 (поставка
наливом), Ярославнефтеоргсинтез (самовывоз
автотранспортом)","Ярославнефтеоргсин
тез",189,5197500,-,-,27500,27500,27500,27500,27500,27500,5
